Scopus refine results values

"Your query : (PUBYEAR > 1 AND AFFILCOUNTRY(Iran) AND DOCTYPE(ar))"


Number of results : 842359

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,"1970","78","Moortgat, F.","1315",,,,,,,"Materials Science And Engineering A","1199","Real Time Polymerase Chain Reaction","11455","Alzahra University","5787","Golestan University of Medical Sciences","1232","Oman","1605",,,,
,,"1969","47","Nahn, S.","1315",,,,,,,"European Physical Journal Plus","1192","Body Mass","11422","Imam Khomeini International University","5657","European Research Council","1227","Hong Kong","1559",,,,
,,"1968","45","Tenchini, R.","1315",,,,,,,"Jundishapur Journal Of Microbiology","1168","Cross-Sectional Studies","11303","School of Pharmacy","5581","Pasteur Institute of Iran","1191","Chile","1550",,,,
,,"1967","43","Vanlaer, P.","1315",,,,,,,"Expert Systems With Applications","1152","Temperature","11265","Shahed University","5526","Bundesministerium für Bildung und Forschung","1166","Belarus","1380",,,,
,,"1966","22","Vila, I.","1315",,,,,,,"International Journal Of Preventive Medicine","1151","Blood","11150","Sahand University of Technology","5513","Chinese Academy of Sciences","1161","Nigeria","1337",,,,
,,"1965","14","Agram, J.L.","1314",,,,,,,"World Academy Of Science Engineering And Technology","1147","PH","10788","University of Sistan and Baluchestan","5510","Japan Society for the Promotion of Science","1105","Jordan","1321",,,,
,,"1964","15","Anagnostou, G.","1314",,,,,,,"Materials Chemistry And Physics","1138","Enzyme Linked Immunosorbent Assay","10767","Islamic Azad University, Isfahan Branch","5491","University of Kurdistan","1097","Sri Lanka","1303",,,,
,,"1963","8","Andrea, J.","1314",,,,,,,"Arabian Journal Of Geosciences","1102","Histopathology","10291","Babol University of Medical Sciences","5299","U.S. Department of Energy","1093","Ecuador","1262",,,,
,,"1962","11","Brom, J.M.","1314",,,,,,,"International Journal Of Engineering Transactions B Applications","1098","Animal Cell","10089","Arak University","5271","Universiti Malaya","1086","Azerbaijan","1235",,,,
,,"1961","18","Burkett, K.","1314",,,,,,,"Applied Surface Science","1096","Rats","9802","Endocrinology and Metabolism Research Institute TUMS","5198","Ministero dell’Istruzione, dell’Università e della Ricerca","1077","Indonesia","1166",,,,
,,"1960","5","Chertok, M.","1314",,,,,,,"Applied Mathematics And Computation","1089","Numerical Methods","9783","University of Social Welfare and Rehabilitation Sciences","5177","Razi University","1076","Algeria","1094",,,,
,,"1959","8","Dolen, J.","1314",,,,,,,"Renewable Energy","1062","Oxidative Stress","9693","Islamic Azad University, Mashhad Branch","5021","Vice-Chancellor for Research, Shiraz University of Medical Sciences","1054","Lebanon","1072",,,,
,,"1958","4","Hall, G.","1314",,,,,,,"Molecular Biology Reports","1057","Morphology","9664","Azarbaijan Shahid Madani University","4890","Guilan University of Medical Sciences","1051","Slovakia","1036",,,,
,,"1956","4","Hartmann, F.","1314",,,,,,,"Applied Mathematical Modelling","1032","Case Control Study","9629","Islamic Azad University, South Tehran Branch","4854","Shahrekord University","1048","Argentina","1034",,,,
,,"1955","2","Karapostoli, G.","1314",,,,,,,"Acta Crystallographica Section E Structure Reports Online","1009","Disease Severity","9518","School of Public Health","4850","Babol University of Medical Sciences","1040","Tunisia","984",,,,
,,"1954","6","Piperov, S.","1314",,,,,,,"Spectrochimica Acta Part A Molecular And Biomolecular Spectroscopy","1007","Nanoparticle","9459","Lorestan University","4807","Babol Noshirvani University of Technology","1023","Latvia","965",,,,
,,"1953","2","Robmann, P.","1314",,,,,,,"Iranian Polymer Journal English Edition","999","Graphene","9396","Islamic Azad University, Tabriz Branch","4677","Ministry of Education, Culture, Sports, Science and Technology","1011","Bangladesh","949",,,,
,,"1952","4","Rumerio, P.","1314",,,,,,,"Materials And Design","997","Retrospective Study","9351","Urmia University of Medical Sciences","4534","Seventh Framework Programme","1005","Kazakhstan","780",,,,
,,"1951","6","Santocchia, A.","1314",,,,,,,"Journal Of Medicinal Plants","995","Finite Element Method","9312","Islamic Azad University, Karaj Branch","4470","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","1002","Israel","743",,,,
,,"1950","4","Simonis, H.J.","1314",,,,,,,"New Journal Of Chemistry","989","Risk Assessment","9190","Imam Khomeini Hospital","4451","Department of Science and Technology, Ministry of Science and Technology, India","996","Slovenia","726",,,,
,,"1948","3","Thom, J.","1314",,,,,,,"Iranian Journal Of Science And Technology Transaction A Science","987","Algorithm","9178","Malek Ashtar University of Technology","4445","Austrian Science Fund","953","Ethiopia","669",,,,
,,"1946","5","Yagil, A.","1314",,,,,,,"Iet Generation Transmission And Distribution","976","Synthesis","9140","Guilan University of Medical Sciences","4445","Azarbaijan Shahid Madani University","936","Morocco","644",,,,
,,"1945","3","Zarubin, A.","1314",,,,,,,"Journal Of Applied Sciences","974","Apoptosis","9095","University of Birjand","4398","Ministry of Science and Technology, Taiwan","930","Peru","630",,,,
,,"1944","1","Abdullin, S.","1313",,,,,,,"Optical And Quantum Electronics","974","Drug Efficacy","9014","Zahedan University of Medical Sciences","4382","Alzahra University","918","Uzbekistan","617",,,,
,,"1941","1","Boccali, T.","1313",,,,,,,"Sustainability Switzerland","969","Transmission Electron Microscopy","8928","Islamic Azad University, Najafabad Branch","4378","Fundação de Amparo à Pesquisa do Estado de São Paulo","916","Philippines","573",,,,
,,"1940","2","Costa, M.","1313",,,,,,,"Environmental Monitoring And Assessment","956","Efficiency","8778","Mashhad University of Medical Sciences, School of Medicine","4356","Zahedan University of Medical Sciences","915","Puerto Rico","505",,,,
,,"1939","4","Eckerlin, G.","1313",,,,,,,"Language Related Research","947","Risk Factors","8777","Gorgan University of Agricultural Sciences and Natural Resources","4335","Zanjan University of Medical Sciences","913","Montenegro","503",,,,
,,"1938","2","Golutvin, I.","1313",,,,,,,"Journal Of Petroleum Science And Engineering","943","Antioxidant","8771","Shiraz University of Technology","4291","Russian Foundation for Basic Research","900","Palestine","427",,,,
,,"1937","6","Gras, P.","1313",,,,,,,"Petroleum Science And Technology","942","Prospective Study","8769","Zanjan University of Medical Sciences ZUMS","4250","Centre National de la Recherche Scientifique","898","Afghanistan","418",,,,
,,"1936","4","Hits, D.","1313",,,,,,,"Arabian Journal For Science And Engineering","937","COVID-19","8765","Yasouj University","4182","Fonds Wetenschappelijk Onderzoek","889","Türkiye","409",,,,
,,"1935","4","Hofman, D.J.","1313",,,,,,,"Composite Structures","936","Enzyme Activity","8685","Shariati Hospital","4039","Kashan University of Medical Sciences","871","Kenya","403",,,,
,,"1934","2","Kalogeropoulos, A.","1313",,,,,,,"Microchemical Journal","934","Genetic Algorithms","8488","Golestan University of Medical Sciences","3989","University of Mohaghegh Ardabili","870","Ghana","377",,,,
,,"1933","1","Kleinwort, C.","1313",,,,,,,"Iranian Journal Of Fisheries Sciences","932","Computer Simulation","8486","Institute for Advanced Studies in Basic Sciences, Zanjan","3965","Shahid Bahonar University of Kerman","867","Nepal","360",,,,
,,"1932","2","Lemaitre, V.","1313",,,,,,,"Physica Scripta","923","Pregnancy","8466","Nuclear Science &amp; Technology Research Institute, Tehran","3930","Shahid Sadoughi University of Medical Sciences","858","Syrian Arab Republic","348",,,,
,,"1931","7","Mankel, R.","1313",,,,,,,"Scientific Journal Of Kurdistan University Of Medical Sciences","916","Escherichia Coli","8433","Iran Polymer and Petrochemical Institute","3865","Royan Institute","845","Sudan","328",,,,
,,"1930","5","Mulders, M.","1313",,,,,,,"Amirkabir Journal Of Civil Engineering","913","Genotype","8344","CNRS Centre National de la Recherche Scientifique","3776","Ministerstvo Školství, Mládeže a Tělovýchovy","844","Iceland","322",,,,
,,"1929","1","Pesaresi, M.","1313",,,,,,,"Soft Computing","913","Decision Making","8264","Hakim Sabzevari University","3765","Semnan University","834","Luxembourg","301",,,,
,,"1928","4","Raidal, M.","1313",,,,,,,"International Communications In Heat And Mass Transfer","901","Cell Proliferation","8197","Drug Applied Research Center, Tabriz University of Medical Sciences","3755","Consejo Nacional de Ciencia y Tecnología","818","Cameroon","290",,,,
,,"1927","7","Tomalin, I.R.","1313",,,,,,,"Materials Science And Engineering C","898","Glucose","8158","Islamic Azad University, North Tehran Branch","3691","Science Foundation Ireland","814","Yemen","259",,,,
,,"1926","2","Treille, D.","1313",,,,,,,"Journal Of Energy Storage","896","Sensitivity Analysis","8116","Qazvin University of Medical Sciences","3681","Fonds De La Recherche Scientifique - FNRS","813","Bahrain","252",,,,
,,"1925","1","Uplegger, L.","1313",,,,,,,"Structures","887","Sensitivity And Specificity","7999","Iranian Ministry of Health and Medical Education","3621","Instituto Nazionale di Fisica Nucleare","789","Uganda","225",,,,
