Scopus refine results values

"Your query : (PUBYEAR > 1 AND DOCTYPE(ar) AND ( LIMIT-TO ( SUBJAREA,""MEDI"" ) OR LIMIT-TO ( SUBJAREA,""BIOC"" ) OR LIMIT-TO ( SUBJAREA,""IMMU"" ) OR LIMIT-TO ( SUBJAREA,""PHAR"" ) OR LIMIT-TO ( SUBJAREA,""AGRI"" ) OR LIMIT-TO ( SUBJAREA,""NEUR"" ) ) )"


Number of results : 35718543

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,"1959","121557","Fishman, E.K.","1186",,,,,,,"Antimicrobial Agents And Chemotherapy","30803","Signal Transduction","683005","Zhejiang University","78174","National Institute for Health and Care Research","39574","Ghana","26624",,,,
,,"1958","116942","Good, R.A.","1184",,,,,,,"Journal Of The Royal Society Of Medicine","30525","Prospective Study","677200","University of Pittsburgh School of Medicine","77820","Russian Foundation for Basic Research","39133","Lebanon","25239",,,,
,,"1957","119360","Mancia, G.","1182",,,,,,,"Pediatrics","30420","Questionnaire","673319","University of California, Berkeley","76824","Pfizer","39101","Uganda","24746",,,,
,,"1956","113172","Karakiewicz, P.I.","1180",,,,,,,"Frontiers In Microbiology","30120","Prognosis","667750","Lunds Universitet","76810","Science and Technology Commission of Shanghai Municipality","38745","Lithuania","23070",,,,
,,"1955","115026","Filippi, M.","1177",,,,,,,"Journal Of Infectious Diseases","29998","Mortality","667064","Universität Heidelberg","75988","Consejo Nacional de Ciencia y Tecnología","38395","Tanzania","22929",,,,
,,"1954","109729","Reiter, R.J.","1177",,,,,,,"Archives Of Biochemistry And Biophysics","29813","Computer Assisted Tomography","658727","University of Toronto Faculty of Medicine","75954","U.S. Department of Veterans Affairs","38163","Germany (Democratic Republic, DDR)","22794",,,,
,,"1953","111451","Peterson, E.D.","1173",,,,,,,"Bulletin Of Experimental Biology And Medicine","29648","Normal Human","652309","Icahn School of Medicine at Mount Sinai","75353","Instituto de Salud Carlos III","37628","Algeria","22159",,,,
,,"1952","113087","Williams, R.","1173",,,,,,,"Journal Of Pharmacology And Experimental Therapeutics","29422","Histology","627802","Northwestern University Feinberg School of Medicine","75308","Natural Science Foundation of Jiangsu Province","37604","Russia","21493",,,,
,,"1951","107519","Schally, A.V.","1171",,,,,,,"Journal Of Clinical Medicine","29322","Animalia","621443","The University of Alabama at Birmingham","74534","Engineering and Physical Sciences Research Council","35966","Estonia","21458",,,,
,,"1950","90399","Ritz, E.","1164",,,,,,,"Bioorganic And Medicinal Chemistry Letters","29017","Newborn","613202","United States Department of Agriculture","74326","Natural Science Foundation of Guangdong Province","35392","Nepal","21140",,,,
,,"1949","66698","Barnes, P.J.","1163",,,,,,,"Annals Of Thoracic Surgery","28888","Prevalence","608081","National Cancer Institute NCI","74041","Council of Scientific and Industrial Research, India","35072","Ecuador","20437",,,,
,,"1948","69984","Kantarjian, H.","1155",,,,,,,"American Journal Of Surgery","28741","Age","605589","USDA Agricultural Research Service","74022","Ministerio de Ciencia e Innovación","35019","Uruguay","18589",,,,
,,"1947","62977","Shields, C.L.","1152",,,,,,,"Journal Of Clinical Microbiology","28657","Randomized Controlled Trial","602566","University of Washington School of Medicine","73870","China Scholarship Council","34894","Qatar","18176",,,,
,,"1946","50683","Romero, R.","1146",,,,,,,"Medical Journal Of Australia","28492","Immunology","593107","Tel Aviv University","73706","Department of Education and Training","33948","Sri Lanka","17958",,,,
,,"1945","24068","Briganti, A.","1145",,,,,,,"Klinische Wochenschrift","28476","Enzyme Activity","588519","Capital Medical University","72862","Centre National de la Recherche Scientifique","33773","Cameroon","17200",,,,
,,"1944","12627","Camargo, C.A.","1145",,,,,,,"Chest","28323","Clinical Feature","582172","Erasmus MC","72451","Ministry of Health and Welfare","33305","Kuwait","15882",,,,
,,"1943","13589","Kurtenacker, A.","1145",,,,,,,"Analytical Biochemistry","28266","Histopathology","575370","KU Leuven","72346","Centers for Disease Control and Prevention","33279","Iceland","15825",,,,
,,"1942","15075","Shoenfeld, Y.","1145",,,,,,,"Southern Medical Journal","28248","Complication","571806","The University of Chicago","71481","Natural Science Foundation of Shandong Province","32871","Czechoslovakia","13832",,,,
,,"1941","16049","Yusuf, S.","1144",,,,,,,"Lakartidningen","28232","Cell Proliferation","563967","Sichuan University","70573","Natural Science Foundation of Zhejiang Province","32459","Costa Rica","13663",,,,
,,"1940","16869","Køber, L.","1143",,,,,,,"Laryngoscope","28067","Disease Severity","562932","Universiteit van Amsterdam","70508","National Basic Research Program of China (973 Program)","32268","Kazakhstan","13545",,,,
,,"1939","19091","Windecker, S.","1139",,,,,,,"Frontiers In Immunology","27879","Diagnostic Imaging","562100","Duke University Medical Center","70316","American Cancer Society","31591","Cyprus","13350",,,,
,,"1938","18859","Omata, M.","1138",,,,,,,"Journal Of Clinical Investigation","27846","Prospective Studies","548273","UT Southwestern Medical Center","69663","Ministero dell’Istruzione, dell’Università e della Ricerca","31202","Belarus","13304",,,,
,,"1937","18589","Burda, D.","1134",,,,,,,"Chemical And Pharmaceutical Bulletin","27601","Cytology","541532","Cleveland Clinic Foundation","69544","National Institute for Health Research","30970","Georgia","13276",,,,
,,"1936","18785","Hemminki, K.","1129",,,,,,,"Biochemical Pharmacology","27576","Follow-Up Studies","534138","UNSW Sydney","69245","Ministry of Health, Labour and Welfare","30536","Puerto Rico","13199",,,,
,,"1935","18593","Mark, E.J.","1127",,,,,,,"BMJ Case Reports","27445","Risk Assessment","532914","Karolinska Universitetssjukhuset","69068","National Institute of Dental and Craniofacial Research","29830","Oman","12632",,,,
,,"1934","18341","Manns, M.P.","1126",,,,,,,"BMC Public Health","27250","Cross-sectional Study","530745","Emory University School of Medicine","68550","Jiangsu Provincial Department of Science and Technology","29739","Sudan","12520",,,,
,,"1933","19146","Murohara, T.","1126",,,,,,,"American Journal Of Ophthalmology","27097","Cell Culture","530148","Sorbonne Université","68442","National Institute on Deafness and Other Communication Disorders","29678","Zimbabwe","12232",,,,
,,"1932","18945","Boerwinkle, E.","1123",,,,,,,"Gastroenterology","26937","Hypertension","522971","Sun Yat-Sen University","68081","Nederlandse Organisatie voor Wetenschappelijk Onderzoek","29551","Türkiye","11798",,,,
,,"1931","17443","Boomsma, D.I.","1122",,,,,,,"Journal Of Neurochemistry","26751","Theoretical Study","522657","AP-HP Assistance Publique - Hopitaux de Paris","67908","National Institute of Food and Agriculture","28696","Latvia","11434",,,,
,,"1930","18624","Jonas, J.B.","1121",,,,,,,"European Journal Of Biochemistry","26690","Outcome Assessment","520391","University of Pennsylvania Perelman School of Medicine","67676","Institut National de la Santé et de la Recherche Médicale","28448","Senegal","11373",,,,
,,"1929","16703","Kaprio, J.","1121",,,,,,,"Analyst","26687","Human Experiment","519265","Technische Universität München","67419","Japan Agency for Medical Research and Development","28107","Bosnia and Herzegovina","10558",,,,
,,"1928","17214","Plebani, M.","1118",,,,,,,"Tidsskrift For Den Norske Laegeforening","26615","Liver","513029","Ministry of Agriculture of the People's Republic of China","67396","University Grants Commission","28075","Luxembourg","10219",,,,
,,"1927","16139","McClements, D.J.","1115",,,,,,,"Virology","26577","Gene Expression Regulation","506623","University of Southern California","67221","Science and Technology Department of Zhejiang Province","27917","Malawi","10079",,,,
,,"1926","15439","Giles, G.G.","1110",,,,,,,"Journal Of Applied Physiology","26333","Support, U.S. Gov't, P.H.S.","498048","Yale University","67014","National Science Council","27226","Macao","9235",,,,
,,"1925","14461","Leon, M.B.","1110",,,,,,,"Sensors Switzerland","25894","Apoptosis","495869","The University of Manchester","66374","Horizon 2020","27192","Panama","9026",,,,
,,"1924","14269","Hu, F.B.","1108",,,,,,,"Water Switzerland","25728","Phenotype","495735","Weill Cornell Medicine","66192","Priority Academic Program Development of Jiangsu Higher Education Institutions","27047","Cote d'Ivoire","8734",,,,
,,"1923","12626","Malaisse, W.J.","1108",,,,,,,"International Journal Of Cardiology","25707","Very Elderly","494619","Universität Zürich","65705","Department of Science and Technology of Shandong Province","27029","Zambia","8561",,,,
,,"1922","12803","Böhm, M.","1105",,,,,,,"Nutrients","25608","Brain","489855","University of Illinois Urbana-Champaign","64553","Consejo Nacional de Investigaciones Científicas y Técnicas","26634","Uzbekistan","8514",,,,
,,"1921","10564","Sattar, N.","1102",,,,,,,"International Journal Of Cancer","25385","Epidemiology","487587","Göteborgs Universitet","64454","National Natural Science Foundation of China-Zhejiang Joint Fund for the Integration of Industrialization and Informatization","26495","Burkina Faso","8511",,,,
,,"1920","8708","Gonzalez, F.J.","1099",,,,,,,"Neuroscience","25353","Polymerase Chain Reaction","484056","Uppsala Universitet","64139","Russian Science Foundation","26277","Syrian Arab Republic","7423",,,,
,,"1919","7697","Tumino, R.","1097",,,,,,,"Experientia","25228","Infant, Newborn","479978","The University of Edinburgh","63571","AstraZeneca","26118","Jamaica","6973",,,,
,,"1918","7171","Fuxe, K.","1095",,,,,,,"Biophysical Journal","25082","Messenger RNA","477589","Centers for Disease Control and Prevention","63260","Academy of Finland","25947","Benin","6860",,,,
,,"1917","7212","Kendler, K.S.","1092",,,,,,,"Transplantation Proceedings","25078","Disease Association","476169","Shanghai Jiao Tong University School of Medicine","63136","National Institute of Biomedical Imaging and Bioengineering","25940","Yugoslavia","6576",,,,
